KeyElement	Subject	RelationshipCategory	Predicate	Cardinality				
RTTreatedPlanDetailsBrachytherapy	RTTreatedPlanDetailsBrachytherapy	ChildElement-Of	RTTreatedPlan	One to One		RTTreatedPlanDetailsBrachytherapy	 part-of 	RTTreatedPlan	
RTTreatedPlanDetailsRadiopharmaceutical	RTTreatedPlanDetailsRadiopharmaceutical	ChildElement-Of	RTTreatedPlan	One to One		RTTreatedPlanDetailsRadiopharmaceutical	 part-of 	RTTreatedPlan	
RTTreatedPlanDetailsHadrons	RTTreatedPlanDetailsHadrons	ChildElement-Of	RTTreatedPlan	One to One		RTTreatedPlanDetailsHadrons	 part-of 	RTTreatedPlan	
RTTreatedFieldDetailsHadrons	RTTreatedFieldDetailsHadrons	ChildElement-Of	RTTreatedPlanDetailsHadrons	Many to One		RTTreatedFieldDetailsHadrons	 part-of 	RTTreatedPlanDetailsHadrons	
RTTreatedPlanFraction	RTTreatedPlanFraction	InstanceAssociated-with	RTTreatedPlan	Many to One	*	RTTreatedPlanFraction	 characteristic-of 	RTTreatedPlan	
RTTreatedPlanFraction	RTTreatedPlanFraction	ChildElement-Of	RTCourseSession	Many to One		RTTreatedPlanFraction	 part-of 	RTCourseSession	
RTTreatedFieldFraction	RTTreatedFieldFraction	ChildElement-Of	RTTreatedPlanFraction	Many to One		RTTreatedFieldFraction	 part-of 	RTTreatedPlanFraction	
DVHCurve	DVHCurve	ChildElement-Of	RTTreatedPlan	Many to One		DVHCurve	 part-of 	RTTreatedPlan	
DVHCurve	DVHMetric	InstanceAssociated-with	DVHCurve	Many to One	*	DVHMetric	 characteristic-of 	DVHCurve	
DVHMetric	DVHMetric	ChildElement-Of	RTTreatedPlan	Many to One		DVHMetric	 part-of 	RTTreatedPlan	
DVHMetric	DVHMetric	InstanceAssociated-with	DVHCurve	Many to One	*	DVHMetric	 characteristic-of 	DVHCurve	
RTPlanningStructureSet	RTPlanningStructureSet	ChildElement-Of	RTTreatedPlan	One to One		RTPlanningStructureSet	 part-of 	RTTreatedPlan	
RTPlanningStructureSet	RTPlanning Structure	ChildElement-Of	RTPlanningStructureSet	Many to One		RTPlanning Structure	 part-of 	RTPlanningStructureSet	
RTPlanningStructure	RTPlanningStructure	ChildElement-Of	RTPlanningStructureSet	Many to One		RTPlanningStructure	 part-of 	RTPlanningStructureSet	
RTPlanningStructure	RTPlanningStructure	InstanceAssociated-with	DVHCurve	One to One	*	RTPlanningStructure	 characteristic-of 	DVHCurve	
Image	Image	ChildElement-Of	Patient	Many to One		Image	 part-of 	Patient	
Image	RTCourse	InstanceAssociated-with	Image	One to Many	*	RTCourse	 characteristic-of 	Image	
Image	RTCourseSession	InstanceAssociated-with	Image	One to Many	*	RTCourseSession	 characteristic-of 	Image	
LabResult	LabResult	ChildElement-Of	Patient	Many to One		LabResult	 part-of 	Patient	
LabResult	LabResult	InstanceAssociated-with	RTCourse	Many to One	*	LabResult	 characteristic-of 	RTCourse	
LabResult	LabResult	InstanceAssociated-with	SysTherCourse	Many to One	*	LabResult	 characteristic-of 	SysTherCourse	
LabResult	LabResult	InstanceAssociated-with	InterventionalProcedure	Many to One	*	LabResult	 characteristic-of 	InterventionalProcedure	
SupportiveMedication	SupportiveMedication	ChildElement-Of	Patient	Many to One		SupportiveMedication	 part-of 	Patient	
SupportiveMedication	SupportiveMedication	InstanceAssociated-with	RTCourse	Many to One	*	SupportiveMedication	 characteristic-of 	RTCourse	
SupportiveMedication	SupportiveMedication	InstanceAssociated-with	SysTherCourse	Many to One	*	SupportiveMedication	 characteristic-of 	SysTherCourse	
SupportiveMedication	SupportiveMedication	InstanceAssociated-with	InterventionalProcedure	Many to One	*	SupportiveMedication	 characteristic-of 	InterventionalProcedure	
FunctionTestResult	FunctionTestResult	ChildElement-Of	Patient	Many to One		FunctionTestResult	 part-of 	Patient	
FunctionTestResult	FunctionTestResult	InstanceAssociated-with	RTCourse	Many to One	*	FunctionTestResult	 characteristic-of 	RTCourse	
FunctionTestResult	FunctionTestResult	InstanceAssociated-with	SysTherCourse	Many to One	*	FunctionTestResult	 characteristic-of 	SysTherCourse	
FunctionTestResult	FunctionTestResult	InstanceAssociated-with	InterventionalProcedure	Many to One	*	FunctionTestResult	 characteristic-of 	InterventionalProcedure	
SysTherCourse	SysTherCourse	ChildElement-Of	Patient	Many to One		SysTherCourse	 part-of 	Patient	
SysTherCourse	SysTherCourse	InstanceAssociated-with	DiagStaging	One to Many	*	SysTherCourse	 characteristic-of 	DiagStaging	
SysTherCourse	Charge	InstanceAssociated-with	SysTherCourse	Many to One	*	Charge	 characteristic-of 	SysTherCourse	
SysTherCycleDrugsChemo	SysTherCycleDrugsChemo	ChildElement-Of	SysTherCycle	Many to One		SysTherCycleDrugsChemo	 part-of 	SysTherCycle	
SysTherCycleDrugsHT	SysTherCycleDrugsHT	ChildElement-Of	SysTherCycle	Many to One		SysTherCycleDrugsHT	 part-of 	SysTherCycle	
SysTherCycleDrugsImmuno	SysTherCycleDrugsImmuno	ChildElement-Of	SysTherCycle	Many to One		SysTherCycleDrugsImmuno	 part-of 	SysTherCycle	
